,country
Hadrian%27s_Wall,United Kingdom
Globe_Theatre,United Kingdom
Last_Supper,Italy
List_of_monarchs_in_the_British_Isles,United Kingdom
Aleksandr_Vasilevsky,Russia
Pyongyang,North Korea
Ivory,None 
Beep_%28SWBLW%29,United States
Bioinformatics,Netherlands
Fermium,None
Cocos_%28Keeling%29_Islands,Australia
CPU_cache,None
Cathedral_of_Magdeburg,Germany
Anna_Karenina,Russia
Eurasian_Bullfinch,None
Oxbow_lake,None
Common_Tern,None
Shenzhou_spacecraft,China
Geology_of_Dorset,United Kingdom
Perth%2C_Western_Australia,Australia
