,country
Snow_Goose, United States
Dwight_D._Eisenhower, United States
Invasion, None
Scooby-Doo, United States
History_of_Central_Asia, None
Bill_Clinton, United States
Frederick_Douglass, United States
Cambrian_explosion, None
Radhanite, None
Einsteinium, United States
Pac-Man, Japan
6-2-0, United States
Effects_of_nuclear_explosions, None
D%C3%A1l_Riata, Scotland
Sumo, Japan
Argon, United Kingdom
London_Underground, United Kingdom
Harry_Potter, United Kingdom
EMD_BL2, United States
Economic_inequality, None
